Qual seu nome completo?,Qual sua idade?,Voce trabalha?,Qual sua area de estudos?,Em qual dos seguintes itens voce possui mais dificuldade durante seu aprendizado?,Voce possui algum disturbio ou transtorno que afeta suas capacidades cognitivas?,Voce considera que seu emprego atual pode estar atrapalhando seus estudos?,Voce considera que suas redes sociais podem estar atrapalhando seus estudos?,Voce acredita que seus problemas pessoais?,Voce ainda possui interesse na sua area de estudo atual?
Aleatorio 64,84,1,Tecnologia,Interesse,1,0,1,0,0
Aleatorio 11,59,1,Ciencias Naturais,Foco/atencao,1,0,1,0,1
Aleatorio 25,84,1,Ciencias Naturais,Foco/atencao,0,0,0,0,1
Aleatorio 64,46,0,Ciencias Exatas,Foco/atencao,0,1,1,0,1
Aleatorio 47,24,1,Outra,Outra,0,1,1,0,0
Aleatorio 49,24,0,Tecnologia,Memorizacao,1,1,0,0,0
Aleatorio 76,23,1,Ciencias Naturais,Interesse,0,0,0,0,1
Aleatorio 43,17,1,Tecnologia,Interesse,1,1,0,1,0
Aleatorio 75,41,0,Ciencias Exatas,Memorizacao,0,1,0,1,0
Aleatorio 18,13,0,Humanas,Foco/atencao,1,0,0,1,1
Aleatorio 3,47,0,Ciencias Exatas,Foco/atencao,1,1,1,1,1
Aleatorio 59,83,0,Tecnologia,Memorizacao,1,1,0,1,0
Aleatorio 23,37,1,Outra,Foco/atencao,0,1,0,1,1
Aleatorio 46,31,0,Ciencias Naturais,Capacidade cognitiva reduzida,1,1,0,1,1
Aleatorio 67,72,0,Humanas,Outra,0,0,0,1,1
Aleatorio 13,36,1,Ciencias Naturais,Capacidade cognitiva reduzida,0,1,1,1,0
Aleatorio 61,23,1,Outra,Memorizacao,0,0,1,1,1
Aleatorio 36,35,1,Ciencias Naturais,Capacidade cognitiva reduzida,0,0,0,0,1
Aleatorio 38,27,1,Ciencias Exatas,Tempo,1,0,0,1,0
Aleatorio 94,23,1,Humanas,Tempo,1,1,1,1,1
Aleatorio 13,25,0,Ciencias Exatas,Outra,0,0,1,0,0
Aleatorio 89,82,1,Ciencias Exatas,Tempo,0,1,1,1,0
Aleatorio 29,70,1,Ciencias Naturais,Capacidade cognitiva reduzida,0,0,0,0,1
Aleatorio 39,36,0,Ciencias Naturais,Memorizacao,0,0,1,1,1
Aleatorio 28,49,0,Ciencias Naturais,Capacidade cognitiva reduzida,1,1,0,1,0
Aleatorio 78,32,1,Ciencias Exatas,Capacidade cognitiva reduzida,0,0,0,0,1
Aleatorio 29,75,1,Ciencias Exatas,Outra,0,1,0,0,1
Aleatorio 2,61,1,Humanas,Interesse,1,1,0,1,1
Aleatorio 92,41,1,Ciencias Naturais,Capacidade cognitiva reduzida,0,1,0,0,1
